category,title,year,venue_or_source,study_type,what_it_supports,key_takeaway,url
motivation,"Electronic word-of-mouth via consumer-opinion platforms: What motivates consumers to articulate themselves on the Internet?",2004,"Journal of Interactive Marketing",survey study,"Concern for others, self-enhancement, social benefits","Concern for other consumers, social interaction, economic incentives, and self-worth enhancement are primary eWOM drivers.","https://www.marketingcenter.de/sites/mcm/files/downloads/research/lmm/literature/hennig-thurau_et_al._2004_jim_electronic_word-of-mouth_via_consumer-opninion_platforms_what_motivates_consumers_to_articulate_themselves_on_the_internet.pdf"
motivation,"What Motivates Consumers to Write Online Travel Reviews?",2008,"Information Technology & Tourism",survey study,"Travel-review motivation","Travel review writers are mainly motivated by helping providers, concern for other consumers, and enjoyment/positive self-enhancement.","https://doi.org/10.3727/109830508788403114"
motivation,"Online travel review posting intentions: a social exchange theory perspective",2021,"Leisure/Loisir",survey study,"Friction reduces participation","Altruism, reputation, rewards, and venting increase intent, while cognitive and executional costs reduce online travel review posting intentions.","https://www.tandfonline.com/doi/full/10.1080/14927713.2021.1924076"
motivation,"What motivates posting online travel reviews? Integrating gratifications with technological acceptance factors",2019,"Tourism and Hospitality Management",survey study,"Habit, ease of use, and low-friction design","Altruism, reciprocity, effort expectancy, habit, and hedonic motivation positively influence review posting; practitioners should make review sites simple and easy to use.","https://hrcak.srce.hr/clanak/331478"
motivation,"Understanding Users' Urge to Post Online Reviews: A Study Based on Existence, Relatedness, and Growth Theory",2022,"SAGE Open",survey study,"Intrinsic motives matter","Helping others, supporting websites, and recognition-related motivations influence the urge to post online reviews.","https://journals.sagepub.com/doi/10.1177/21582440221129851"
motivation,"Motivation crowding in online product reviewing: A qualitative study of Amazon reviewers",2019,"Information & Management",qualitative interviews + forum observation,"Avoid intrusive or over-incentivized interventions","Extrinsic motivation can crowd out intrinsic reviewing motivation when status recognition or reciprocal obligation becomes dominant.","https://www.sciencedirect.com/science/article/abs/pii/S0378720618302155"
motivation,"Altruism in eWOM: Propensity to Write Reviews on Hotel Experience",2023,"Journal of Theoretical and Applied Electronic Commerce Research",survey study,"Hotel-review altruism","Among hotel customers, the strongest underlying motivation to write a review is altruistic.","https://www.mdpi.com/0718-1876/18/4/113"
expression,"Conspicuous Reviewing: Affiliation with High-status Organizations as a Motivation for Writing Online Reviews",2018,"Socius",experimental studies,"Reviewing is partly identity and status expression","Some people write reviews to make consumption visible and status-relevant.","https://journals.sagepub.com/doi/10.1177/2378023118776848"
expression,"Anonymity and self-expression in online rating systems—An experimental analysis",2022,"Journal of Behavioral and Experimental Economics",lab experiment,"Self-expression motivates review/rating behavior","Self-expression stimulates non-altruistic subjects to publish ratings, and anonymity blunts that motive.","https://www.sciencedirect.com/science/article/pii/S2214804322000441"
expression,"Beyond credibility: expressive authenticity judgments of online reviews",2026,"Journal of Business Research",multi-study paper,"Reviews are judged as authentic expressions of personal experience","Consumers judge expressive authenticity separately from credibility, and expressive authenticity has its own effect on review usefulness.","https://www.sciencedirect.com/science/article/pii/S0148296325007404"
helpfulness,"Moderating effects of rating on text and helpfulness in online hotel reviews: an analytical approach",2021,"Journal of Hospitality Marketing & Management",analysis of real hotel reviews,"Text matters alongside ratings","Review rating and review text interact with each other in shaping perceptions of hotel reviews.","https://www.tandfonline.com/doi/full/10.1080/19368623.2020.1778596"
helpfulness,"Assessing the helpfulness of online hotel reviews: A classification-based approach",2018,"Telematics and Informatics",classification study using TripAdvisor reviews,"Helpfulness depends on text quality","Online hotel review helpfulness can be investigated through review quality, sentiment, and reviewer characteristics.","https://www.sciencedirect.com/science/article/pii/S0736585317305543"
helpfulness,"Exploring the antecedents for hospitality reviewers’ trustworthiness and its impact on business patronage",2023,"International Journal of Hospitality Management",large-scale observational study,"Qualitative text features affect trustworthiness","Reviewer trustworthiness depends on both qualitative and quantitative review information, including sentiment and emotional arousal in text.","https://www.sciencedirect.com/science/article/abs/pii/S0278431923000221"
channel,"Rant or rave: variation over time in the language of online reviews",2023,"Language Resources and Evaluation",large-scale longitudinal text analysis,"Shorter, less comprehensive review text is a risk","Reviews have become less comprehensive over time; the paper also reports that mobile-submitted reviews were shorter and showed lower language quality in Booking.com data.","https://link.springer.com/article/10.1007/s10579-023-09652-5"
channel,"How does mobile device usage influence review helpfulness through consumer evaluation? Evidence from TripAdvisor",2022,"Information & Management",observational study using TripAdvisor data,"Lower-friction input modes may reduce helpfulness","Mobile reviews received fewer helpful votes, with shorter text among the mechanisms examined.","https://www.sciencedirect.com/science/article/pii/S0167923621001925"
